Time,Wind Speed u (m s-1),Traffic Flow T (cars h-1),Vehicle Speed S (miles h-1),[CO] Observed (ppm)
15:00,1.43,3700,40,2.70
15:10,1.55,3200,40,2.57
15:20,1.76,3600,40,2.56
15:30,2.49,3600,40,2.59
15:40,2.73,3879,40,1.65
15:50,2.20,4159,40,2.73
16:00,2.11,4440,40,2.54
16:10,2.36,4200,40,3.16
16:20,2.09,3960,40,3.16
16:30,2.67,3720,40,2.30
16:40,2.63,4120,40,2.49
16:50,2.76,4519,40,3.28
17:00,2.10,4920,40,3.09
17:10,1.08,4380,40,5.16
17:20,0.81,3840,40,6.00
17:30,0.42,3300,40,5.92
17:40,0.52,2940,40,4.80
17:50,0.45,2580,40,4.32
18:00,0.47,2220,40,3.98
18:10,0.43,2200,40,2.80
18:20,0.33,2140,40,3.78
18:30,0.37,1940,40,3.10
18:40,0.35,1820,40,3.40
18:50,0.26,1840,40,2.40
19:00,0.28,1620,40,2.20