Time,Wind Speed u (m s-1),Traffic Flow N (cars h-1),Vehicle Speed S (miles h-1),[CO] Observed (ppm)
7:00,0.36,1200,6,4.23
7:10,0.07,1200,6,9.34
7:20,0.01,1200,6,5.20
7:30,0.02,1140,6,8.20
7:40,0.01,1080,6,10.13
7:50,0.13,1200,6,8.54
8:00,0.00,1260,6,10.30
8:10,0.02,1260,6,11.24
8:20,0.07,1120,6,9.34
8:30,0.05,980,6,7.32
8:40,0.04,840,6,5.63
8:50,0.13,930,6,7.30
9:00,0.23,1020,6,5.50
9:10,0.09,940,6,6.80
9:20,0.07,860,6,6.32
9:30,0.03,780,6,7.80
9:40,0.31,820,6,4.30
9:50,0.23,860,6,5.32
10:00,0.35,900,6,4.63
10:10,0.46,876,6,6.34
10:20,0.67,859,6,5.34
10:30,0.36,840,6,5.34
10:40,0.66,820,6,4.28
10:50,0.96,800,6,5.34
11:00,1.01,780,6,5.67
11:10,1.81,806,6,3.45
11:20,2.28,831,6,3.45
11:30,1.83,857,6,2.76
11:40,1.56,882,6,2.13
11:50,1.55,908,6,3.07
12:00,1.79,934,6,2.72
12:10,0.55,960,6,5.83
12:20,0.09,1110,6,7.80
12:30,0.03,1260,6,10.10
12:40,1.01,1100,6,5.30
12:50,0.40,940,6,5.82
13:00,0.65,780,6,4.50
13:10,0.72,788,6,2.56
13:20,1.00,795,6,3.48
13:30,0.97,802,6,4.32
13:40,1.02,810,6,3.47
13:50,0.91,818,6,4.21
14:40,0.85,825,6,4.17
14:50,0.93,832,6,4.67
15:00,1.43,840,6,2.76
15:10,0.93,1000,6,3.61
15:20,0.95,1100,6,4.34
15:30,0.91,1230,6,4.37
15:40,0.81,1361,6,3.95
15:50,0.96,1490,6,4.78
16:00,0.32,1620,6,6.70
16:10,0.24,1480,6,8.74
16:20,0.51,1340,6,7.54
16:30,0.31,1200,6,6.37
16:40,0.36,1200,6,5.70
16:50,0.07,1200,6,6.40
17:10,0.01,1200,6,9.32
17:20,0.02,1140,6,14.40
17:30,0.19,1080,6,6.67
17:40,0.13,1020,6,9.30